survey_id,customer_id,restaurant_id,satisfaction_score,recommend_score,food_quality,service_quality,cleanliness,feedback_text,created_date,source
SUR10001,CUS0081,RES002,5,3,5,5,4,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Guntur effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure.",2024-04-14,Customer Survey
SUR10002,CUS0082,RES003,2,9,3,2,1,"Unacceptable delivery delay from BiryaniBox Hyderabad! The order arrived 50 minutes late, taking over an hour and fifteen minutes in total. The delivery agent refused to answer phone calls while we waited anxiously. When the parcel finally arrived, the biryani was completely cold and the paper bag was soaked in spilled curry. Terrible delivery service that ruined our evening plans in Hyderabad.",2024-07-26,Customer Survey
SUR10003,CUS0083,RES004,1,2,2,1,0,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",2024-02-10,Customer Survey
SUR10004,CUS0084,RES005,5,8,5,5,4,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-13,Customer Survey
SUR10005,CUS0085,RES006,5,4,5,5,5,"Multiple payment options available including credit cards, debit cards, NetBanking, Paytm, and Amazon Pay. Checkout was effortless and instant OTP verification worked smoothly. Invoice was immediately sent to my registered email and phone number. Great fintech integration! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-10,Customer Survey
SUR10006,,RES007,2,3,2,2,1,"   Frequent  app  glitches  and  login  errors!  My  saved  addresses  and  loyalty  points  vanished  after  the  latest  app  update.  Customer  support  chat  feature  within  the  app  loops  endlessly  without  connecting  to  an  agent.  Unusable  mobile  application!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Pune  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",2024-06-08,Customer Survey
SUR10007,CUS0087,RES008,4,4,5,4,3,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Mumbai customers.",2024-07-21,Customer Survey
SUR10008,CUS0088,RES001,,7,4,4,3,"THE NEW BIRYANIBOX MOBILE APPLICATION IS BRILLIANT! CLEAN, MODERN UI WITH SMOOTH CATEGORY NAVIGATION AND QUICK CUSTOMIZATION SLIDERS FOR SPICE LEVELS AND EXTRA SALAN. THE LIVE GPS RIDER TRACKING FEATURE WORKS WITH PINPOINT ACCURACY. ORDERING BIRYANI IN VIJAYAWADA HAS NEVER BEEN EASIER OR FASTER. KUDOS TO THE TECH DEVELOPMENT TEAM!",2024-01-03,Customer Survey
SUR10009,CUS0089,RES002,1,9,1,1,0,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Guntur! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😍🍚❤️",2024-02-27,Customer Survey
SUR10010,CUS0090,RES003,1,1,1,1,1,"Extremely poor delivery coordination. The rider assigned to our order got lost in Hyderabad and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",2024-01-15,Customer Survey
SUR10011,CUS0091,RES004,4,1,4,4,4,"Affordable and satisfying meals for student groups and families alike. The portion size of the Special Dum Biryani is huge compared to competing restaurants in Visakhapatnam. Combined with seasonal discounts and cashbacks, BiryaniBox offers the best value biryani in town. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-04,Customer Survey
SUR10012,CUS0092,RES005,3,9,4,3,3,"Packaging from BiryaniBox Bengaluru was standard plastic containers inside a paper bag. The lid on the raita cup was slightly loose, causing minor condensation, but no major spillage occurred. Cutlery was provided as requested. Decent packaging overall, though upgrading to eco-friendly biodegradable boxes would be a welcome improvement for the Bengaluru outlet.",07/01/2024,Customer Survey
SUR10013,CUS0093,RES006,1,10,1,1,1,"   Frustrating  payment  failure  on  the  app!  Money  was  debited  twice  from  my  bank  account  via  UPI,  but  the  app  displayed  an  'Order  Failed'  screen.  Customer  support  phone  lines  were  busy  and  chat  bot  provided  zero  assistance.  It  took  6  days  of  continuous  follow-ups  to  get  my  hard-earned  money  refunded.  Unreliable  payment  infrastructure!   ",2024-03-09,Customer Survey
SUR10014,CUS0094,RES007,1,9,2,1,0,"Extremely poor delivery coordination. The rider assigned to our order got lost in Pune and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",2024-05-21,Customer Survey
SUR10015,CUS0095,RES008,,5,5,5,4,"Visited BiryaniBox Mumbai with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Mumbai dining scene.",2024-01-04,Customer Survey
SUR10016,CUS0096,RES001,3,9,3,3,3,"The food arrived in decent condition. Container seals held up during transit, though the outer bag showed slight oil marks near the base. Food remained warm enough to eat without reheating. Average packaging quality that gets the job done for routine takeaway orders. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-13,Customer Survey
SUR10017,CUS0097,RES002,1,3,2,1,1,"Failed card transaction error on the POS machine at Guntur branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-02,Customer Survey
SUR10018,CUS0098,RES003,1,7,1,1,0,"Received cold and stale biryani from the Hyderabad outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience.",2024-03-24,Customer Survey
SUR10019,CUS0099,RES004,4,9,4,4,4,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-20,Customer Survey
SUR10020,CUS0100,RES005,1,2,2,1,0,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Bengaluru! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🍗🔥😋💯",2024-02-07,Customer Survey
SUR10021,CUS0101,RES006,2,5,3,2,2,"Appalling staff behavior at BiryaniBox Chennai! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-28,Customer Survey
SUR10022,CUS0102,RES007,4,5,4,4,4,"Visited BiryaniBox Pune with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Pune dining scene.",2024-01-20,Customer Survey
SUR10023,CUS0103,RES008,2,5,2,2,1,"Hidden charges and inflated prices ruined our ordering experience. The app displayed a lower price initially, but added excessive surge charges, packaging fees, and delivery markups at checkout. Not worth the steep cost for average tasting biryani. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-18,Customer Survey
SUR10024,CUS0104,RES001,5,1,5,5,4,"Zero waiting time on a busy Friday night at BiryaniBox Vijayawada! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Vijayawada. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-19,Customer Survey
SUR10025,CUS0105,RES002,4,8,5,4,3,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Guntur has never been easier or faster. Kudos to the tech development team! 😍🍚❤️",2024-02-28,Customer Survey
