feedback_id,source,app_name,feedback_text,rating,created_date,language,platform,feedback_length,feedback_word_count,has_question,has_exclamation,is_feature_request,issue_type,primary_issue_type,has_rating,has_feedback_text,review,Category,Sentiment,Priority,theme,pain_point
FDBK00121,Email,Uber Eats,The app crashes whenever I open the orders page. After the latest update. The problem started recently. Please fix this soon.,2.0,2026-04-07,English,Android,125,21,0,0,0,app_crash,app_crash,1,1,The app crashes whenever I open the orders page. After the latest update. The problem started recently. Please fix this soon.,App Crash,Negative,High,App Stability,App crashes immediately upon opening the orders page after the latest update.
FDBK00122,App Store,DoorDash,The new interface is confusing and navigation takes too many steps. On my android phone. The problem started recently. Please fix this soon.,5.0,2025-12-04,Tamil,Android,140,23,0,0,0,ui_ux,ui_ux,1,1,The new interface is confusing and navigation takes too many steps. On my android phone. The problem started recently. Please fix this soon.,UI/UX,Negative,Medium,User Experience & Design,New interface is unintuitive and navigation requires too many steps.
FDBK00123,Email,Swiggy,The app takes too long to load even on a fast connection. On my iphone. The problem started recently. Please fix this soon.,2.0,2025-10-06,English,Android,123,23,0,0,0,performance,performance,1,1,The app takes too long to load even on a fast connection. On my iphone. The problem started recently. Please fix this soon.,Performance,Negative,High,App Performance,Slow loading speed despite a high-speed internet connection.
FDBK00124,Email,Uber Eats,I cannot log in after the latest update. When using mobile data. The problem started recently. Please fix this soon.,5.0,2026-02-23,English,Android,116,20,0,0,0,login_auth,login_auth,1,1,I cannot log in after the latest update. When using mobile data. The problem started recently. Please fix this soon.,Login/Auth,Negative,Medium,Authentication & Access,Inability to log into the account while on mobile data after updating.
FDBK00125,Support Ticket,Uber Eats,Money was deducted but the order was not confirmed. After reopening the app. The problem started recently. Please fix this soon.,5.0,2025-08-26,English,Android,128,21,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. After reopening the app. The problem started recently. Please fix this soon.,Payment,Negative,Medium,Payments & Billing,Payment is debited without the order being successfully confirmed.
FDBK00126,Google Play,Grubhub,The order tracking map stopped updating. During a busy lunch period. The problem started recently. Please fix this soon.,3.0,2025-09-28,English,Android,120,19,0,0,0,order_tracking,order_tracking,1,1,The order tracking map stopped updating. During a busy lunch period. The problem started recently. Please fix this soon.,Cart/Checkout,Negative,Medium,Order Tracking,Live tracking map stops updating status during active orders.
FDBK00127,Google Play,Zomato,I did not receive the order confirmation notification. While using the latest app version. The problem started recently. Please fix this soon.,1.0,2025-09-30,English,iOS,142,22,0,0,0,notifications,notifications,1,1,I did not receive the order confirmation notification. While using the latest app version. The problem started recently. Please fix this soon.,Cart/Checkout,Negative,High,Notifications,Missing push/in-app order confirmation notifications.
FDBK00128,Social Media,DoorDash,Search results are not relevant to what I type. When trying to complete checkout. The problem started recently. Please fix this soon.,3.0,2026-03-26,Tamil,Web,133,22,0,0,0,search|cart_checkout,search,1,1,Search results are not relevant to what I type. When trying to complete checkout. The problem started recently. Please fix this soon.,Search,Negative,Medium,Search & Discovery,Inaccurate or irrelevant search results returned for user queries.
FDBK00129,Google Play,Grubhub,Items disappear from my cart before checkout. After returning to the app. The problem started recently. Please fix this soon.,3.0,2025-10-06,English,Web,125,20,0,0,0,cart_checkout,cart_checkout,1,1,Items disappear from my cart before checkout. After returning to the app. The problem started recently. Please fix this soon.,Cart/Checkout,Negative,Medium,Cart & Checkout,Cart persistence issue causing saved items to vanish before checkout.
FDBK00130,Google Play,Zomato,Please add dark mode to the app. While ordering from a saved address. The problem started recently. Please fix this soon.,1.0,2025-11-27,Tamil,Android,121,21,0,0,1,feature_request|account,feature_request,1,1,Please add dark mode to the app. While ordering from a saved address. The problem started recently. Please fix this soon.,Cart/Checkout,Positive,Medium,Feature Request,Lack of a dark mode option in the application interface.
FDBK00131,App Store,Uber Eats,I cannot reach a real support agent through the app. When switching between wi-fi and mobile data. The problem started recently. Please fix this soon.,,2025-10-03,Telugu,Web,150,25,0,0,0,customer_support,customer_support,0,1,I cannot reach a real support agent through the app. When switching between wi-fi and mobile data. The problem started recently. Please fix this soon.,Customer Support,Positive,Medium,Customer Support,Inability to connect with a live support agent in the app
FDBK00132,Survey,Uber Eats,My saved address disappeared after the app update. During the evening. The problem started recently. Please fix this soon.,4.0,2025-12-10,English,Web,122,19,0,0,0,account,account,1,1,My saved address disappeared after the app update. During the evening. The problem started recently. Please fix this soon.,General Feedback,Positive,Medium,Data & Account Management,Saved addresses were deleted/lost following an app update
FDBK00133,Support Ticket,Swiggy,The app gave an inaccurate delivery estimate. After placing a second order. The problem started recently. Please fix this soon.,2.0,2025-12-23,English,iOS,127,20,0,0,0,general_product_feedback,general_product_feedback,1,1,The app gave an inaccurate delivery estimate. After placing a second order. The problem started recently. Please fix this soon.,Cart/Checkout,Negative,High,Delivery & Logistics,Inaccurate delivery time estimates provided to the customer
FDBK00134,Social Media,Uber Eats,The app is easy to use and checkout is very smooth. When several items are in the cart. The problem started recently. Please fix this soon.,5.0,2026-02-26,Telugu,Android,139,26,0,0,0,cart_checkout,cart_checkout,1,1,The app is easy to use and checkout is very smooth. When several items are in the cart. The problem started recently. Please fix this soon.,Cart/Checkout,Positive,Medium,User Experience / Feedback Quality,No clear pain point (positive praise submitted via error template)
FDBK00135,Support Ticket,DoorDash,The app crashes whenever I open the orders page. While checking a previous order. The problem started recently. Please fix this soon.,2.0,2026-04-11,English,Web,133,22,0,0,0,app_crash,app_crash,1,1,The app crashes whenever I open the orders page. While checking a previous order. The problem started recently. Please fix this soon.,App Crash,Negative,High,App Stability,App crashes consistently when opening the orders page
FDBK00136,Email,Uber Eats,The new interface is confusing and navigation takes too many steps. After the latest update. I could not complete the task without retrying. Please fix this soon.,5.0,2026-06-11,Hindi,Android,162,27,0,0,0,ui_ux,ui_ux,1,1,The new interface is confusing and navigation takes too many steps. After the latest update. I could not complete the task without retrying. Please fix this soon.,UI/UX,Negative,Medium,User Interface & Navigation,Confusing UI redesign requiring too many steps to navigate
FDBK00137,Survey,Uber Eats,The app takes too long to load even on a fast connection. On my android phone. I could not complete the task without retrying. Please fix this soon.,4.0,2025-12-07,English,Android,148,28,0,0,0,performance,performance,1,1,The app takes too long to load even on a fast connection. On my android phone. I could not complete the task without retrying. Please fix this soon.,Performance,Negative,Medium,App Performance,Slow loading times despite a fast internet connection
FDBK00138,Survey,Uber Eats,I cannot log in after the latest update. On my iphone. I could not complete the task without retrying. Please fix this soon.,2.0,2025-01-10,English,Android,124,23,0,0,0,login_auth,login_auth,1,1,I cannot log in after the latest update. On my iphone. I could not complete the task without retrying. Please fix this soon.,Login/Auth,Negative,High,Authentication & Login,Users locked out / unable to log in after the latest update
FDBK00139,Email,Swiggy,Money was deducted but the order was not confirmed. When using mobile data. I could not complete the task without retrying. Please fix this soon.,2.0,2025-03-09,Telugu,Web,145,25,0,0,0,payment,payment,1,1,Money was deducted but the order was not confirmed. When using mobile data. I could not complete the task without retrying. Please fix this soon.,Payment,Negative,High,Payments & Billing,Payment processed successfully without creating or confirming the order
FDBK00140,Google Play,Uber Eats,The order tracking map stopped updating. After reopening the app. I could not complete the task without retrying. Please fix this soon.,,2025-06-04,English,Android,135,22,0,0,0,order_tracking,order_tracking,0,1,The order tracking map stopped updating. After reopening the app. I could not complete the task without retrying. Please fix this soon.,Cart/Checkout,Negative,Medium,Order Tracking,Live map tracking stops updating after reopening the app
