feedback_id,source,app_name,feedback_text,rating,created_date,language,platform,feedback_length,feedback_word_count,has_question,has_exclamation,is_feature_request,issue_type,primary_issue_type,has_rating,has_feedback_text
FDBK00121,Email,Uber Eats,The app crashes whenever I open the orders page. After the latest update. The problem started recently. Please fix this soon.,2.0,2026-04-07,English,Android,125,21,0,0,0,app_crash,app_crash,1,1
FDBK00122,App Store,DoorDash,The new interface is confusing and navigation takes too many steps. On my android phone. The problem started recently. Please fix this soon.,5.0,2025-12-04,Tamil,Android,140,23,0,0,0,ui_ux,ui_ux,1,1
FDBK00123,Email,Swiggy,The app takes too long to load even on a fast connection. On my iphone. The problem started recently. Please fix this soon.,2.0,2025-10-06,English,Android,123,23,0,0,0,performance,performance,1,1
FDBK00124,Email,Uber Eats,I cannot log in after the latest update. When using mobile data. The problem started recently. Please fix this soon.,5.0,2026-02-23,English,Android,116,20,0,0,0,login_auth,login_auth,1,1
FDBK00125,Support Ticket,Uber Eats,Money was deducted but the order was not confirmed. After reopening the app. The problem started recently. Please fix this soon.,5.0,2025-08-26,English,Android,128,21,0,0,0,payment,payment,1,1
FDBK00126,Google Play,Grubhub,The order tracking map stopped updating. During a busy lunch period. The problem started recently. Please fix this soon.,3.0,2025-09-28,English,Android,120,19,0,0,0,order_tracking,order_tracking,1,1
FDBK00127,Google Play,Zomato,I did not receive the order confirmation notification. While using the latest app version. The problem started recently. Please fix this soon.,1.0,2025-09-30,English,iOS,142,22,0,0,0,notifications,notifications,1,1
FDBK00128,Social Media,DoorDash,Search results are not relevant to what I type. When trying to complete checkout. The problem started recently. Please fix this soon.,3.0,2026-03-26,Tamil,Web,133,22,0,0,0,search|cart_checkout,search,1,1
FDBK00129,Google Play,Grubhub,Items disappear from my cart before checkout. After returning to the app. The problem started recently. Please fix this soon.,3.0,2025-10-06,English,Web,125,20,0,0,0,cart_checkout,cart_checkout,1,1
FDBK00130,Google Play,Zomato,Please add dark mode to the app. While ordering from a saved address. The problem started recently. Please fix this soon.,1.0,2025-11-27,Tamil,Android,121,21,0,0,1,feature_request|account,feature_request,1,1
FDBK00131,App Store,Uber Eats,I cannot reach a real support agent through the app. When switching between wi-fi and mobile data. The problem started recently. Please fix this soon.,,2025-10-03,Telugu,Web,150,25,0,0,0,customer_support,customer_support,0,1
FDBK00132,Survey,Uber Eats,My saved address disappeared after the app update. During the evening. The problem started recently. Please fix this soon.,4.0,2025-12-10,English,Web,122,19,0,0,0,account,account,1,1
FDBK00133,Support Ticket,Swiggy,The app gave an inaccurate delivery estimate. After placing a second order. The problem started recently. Please fix this soon.,2.0,2025-12-23,English,iOS,127,20,0,0,0,general_product_feedback,general_product_feedback,1,1
FDBK00134,Social Media,Uber Eats,The app is easy to use and checkout is very smooth. When several items are in the cart. The problem started recently. Please fix this soon.,5.0,2026-02-26,Telugu,Android,139,26,0,0,0,cart_checkout,cart_checkout,1,1
FDBK00135,Support Ticket,DoorDash,The app crashes whenever I open the orders page. While checking a previous order. The problem started recently. Please fix this soon.,2.0,2026-04-11,English,Web,133,22,0,0,0,app_crash,app_crash,1,1
FDBK00136,Email,Uber Eats,The new interface is confusing and navigation takes too many steps. After the latest update. I could not complete the task without retrying. Please fix this soon.,5.0,2026-06-11,Hindi,Android,162,27,0,0,0,ui_ux,ui_ux,1,1
FDBK00137,Survey,Uber Eats,The app takes too long to load even on a fast connection. On my android phone. I could not complete the task without retrying. Please fix this soon.,4.0,2025-12-07,English,Android,148,28,0,0,0,performance,performance,1,1
FDBK00138,Survey,Uber Eats,I cannot log in after the latest update. On my iphone. I could not complete the task without retrying. Please fix this soon.,2.0,2025-01-10,English,Android,124,23,0,0,0,login_auth,login_auth,1,1
FDBK00139,Email,Swiggy,Money was deducted but the order was not confirmed. When using mobile data. I could not complete the task without retrying. Please fix this soon.,2.0,2025-03-09,Telugu,Web,145,25,0,0,0,payment,payment,1,1
FDBK00140,Google Play,Uber Eats,The order tracking map stopped updating. After reopening the app. I could not complete the task without retrying. Please fix this soon.,,2025-06-04,English,Android,135,22,0,0,0,order_tracking,order_tracking,0,1
FDBK00141,Social Media,DoorDash,I did not receive the order confirmation notification. During a busy lunch period. I could not complete the task without retrying. Please fix this soon.,4.0,2026-05-26,Hindi,Web,152,25,0,0,0,notifications,notifications,1,1
FDBK00142,Email,Zomato,Search results are not relevant to what I type. While using the latest app version. I could not complete the task without retrying. Please fix this soon.,3.0,2026-04-29,Hindi,Android,153,27,0,0,0,search,search,1,1
FDBK00143,Google Play,DoorDash,Items disappear from my cart before checkout. When trying to complete checkout. I could not complete the task without retrying. Please fix this soon.,,2026-05-06,Hindi,iOS,149,24,0,0,0,cart_checkout,cart_checkout,0,1
FDBK00144,Google Play,DoorDash,Please add dark mode to the app. After returning to the app. I could not complete the task without retrying. Please fix this soon.,,2026-04-06,Tamil,iOS,130,24,0,0,1,feature_request,feature_request,0,1
FDBK00145,Email,Uber Eats,I cannot reach a real support agent through the app. While ordering from a saved address. I could not complete the task without retrying. Please fix this soon.,3.0,2026-05-17,English,iOS,159,28,0,0,0,customer_support|account,customer_support,1,1
FDBK00146,Support Ticket,Zomato,My saved address disappeared after the app update. When switching between wi-fi and mobile data. I could not complete the task without retrying. Please fix this soon.,3.0,2026-07-20,Tamil,Android,166,27,0,0,0,account,account,1,1
FDBK00147,Survey,Swiggy,The app gave an inaccurate delivery estimate. During the evening. I could not complete the task without retrying. Please fix this soon.,,2026-01-28,English,Web,135,22,0,0,0,general_product_feedback,general_product_feedback,0,1
FDBK00148,Social Media,Zomato,The app is easy to use and checkout is very smooth. After placing a second order. I could not complete the task without retrying. Please fix this soon.,5.0,2026-01-26,Hindi,Android,151,28,0,0,0,cart_checkout,cart_checkout,1,1
FDBK00149,Google Play,Uber Eats,The app crashes whenever I open the orders page. When several items are in the cart. I could not complete the task without retrying. Please fix this soon.,,2025-10-05,English,Web,154,28,0,0,0,app_crash|cart_checkout,app_crash,0,1
FDBK00150,Social Media,Zomato,The new interface is confusing and navigation takes too many steps. While checking a previous order. I could not complete the task without retrying. Please fix this soon.,3.0,2025-01-16,English,Web,170,28,0,0,0,ui_ux,ui_ux,1,1
FDBK00151,Social Media,Uber Eats,The app takes too long to load even on a fast connection. After the latest update. It happened more than once. This needs attention.,4.0,2025-09-29,Tamil,Android,132,24,0,0,0,performance,performance,1,1
FDBK00152,Social Media,Uber Eats,I cannot log in after the latest update. On my android phone. It happened more than once. This needs attention.,2.0,2025-12-03,Telugu,Android,111,20,0,0,0,login_auth,login_auth,1,1
FDBK00153,Social Media,DoorDash,Money was deducted but the order was not confirmed. On my iphone. It happened more than once. This needs attention.,5.0,2025-12-03,English,Android,115,20,0,0,0,payment,payment,1,1
FDBK00154,Social Media,Swiggy,The order tracking map stopped updating. When using mobile data. It happened more than once. This needs attention.,,2026-03-21,Hindi,Android,114,18,0,0,0,order_tracking,order_tracking,0,1
FDBK00155,Support Ticket,Swiggy,I did not receive the order confirmation notification. After reopening the app. It happened more than once. This needs attention.,1.0,2025-11-03,English,iOS,129,20,0,0,0,notifications,notifications,1,1
FDBK00156,App Store,Grubhub,Search results are not relevant to what I type. During a busy lunch period. It happened more than once. This needs attention.,2.0,2026-01-19,Hindi,Android,125,22,0,0,0,search,search,1,1
FDBK00157,Email,Uber Eats,Items disappear from my cart before checkout. While using the latest app version. It happened more than once. This needs attention.,1.0,2025-06-24,Telugu,Android,131,21,0,0,0,cart_checkout,cart_checkout,1,1
FDBK00158,Survey,DoorDash,Please add dark mode to the app. When trying to complete checkout. It happened more than once. This needs attention.,2.0,2026-05-25,Hindi,iOS,116,20,0,0,1,cart_checkout|feature_request,cart_checkout,1,1
FDBK00159,Social Media,Grubhub,I cannot reach a real support agent through the app. After returning to the app. It happened more than once. This needs attention.,2.0,2025-01-10,English,Android,130,23,0,0,0,customer_support,customer_support,1,1
