ticket_id,customer_id,restaurant_id,issue_category,priority,status,feedback_text,created_date,source
TCK10001,CUS0101,RES006,Payment,High,Open,"Failed card transaction error on the POS machine at Chennai branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🛵💨⚡",2024-06-27,Support Portal
TCK10002,CUS0102,RES007,Packaging,High,In Progress,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-09,Support Portal
TCK10003,CUS0103,RES008,Delivery,Low,Open,"Extremely poor delivery coordination. The rider assigned to our order got lost in Mumbai and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",2024-05-08,Support Portal
TCK10004,CUS0104,RES001,Packaging,High,In Progress,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😍🍚❤️",2024-05-04,Support Portal
TCK10005,CUS0105,RES002,Payment,Low,Closed,"Frustrating payment failure on the app! Money was debited twice from my bank account via UPI, but the app displayed an 'Order Failed' screen. Customer support phone lines were busy and chat bot provided zero assistance. It took 6 days of continuous follow-ups to get my hard-earned money refunded. Unreliable payment infrastructure!",2024-04-11,Support Portal
TCK10006,CUS0106,RES003,Packaging,Low,In Progress,"No cutlery or napkins were included despite ticking the request box in the app. The curry container was cracked on one side, allowing oil to seep through the paper bag onto my car seat during pickup. Careless packaging management that reflects poor attention to detail at BiryaniBox Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-24,Support Portal
TCK10007,CUS0107,RES004,Packaging,Critical,In Progress,"Disastrous packaging experience! The salan container burst inside the bag during transit, soaking the entire parcel in oily curry. The biryani box was crushed, and the raita spilled over the starters. Opening the bag was a complete mess, ruining our dining table and wasting half the food. BiryaniBox Visakhapatnam needs to replace these cheap plastic lids immediately.",11/07/2024,Support Portal
TCK10008,CUS0108,RES005,Food Quality,High,Resolved,"ThE ChIcKeN DuM BiRyAnI DeLiVeReD ToDaY FrOm bIrYaNiBoX BeNgAlUrU WaS DrIpPiNg iN ExCeSs oIl, MaKiNg tHe bOtToM LaYeR Of rIcE CoMpLeTeLy sOgGy. ThE SpIcEs tAsTeD RaW AnD UnBlEnDeD, cAuSiNg sEvErE StOmAcH DiScOmFoRt lAtEr iN ThE EvEnInG. qUaLiTy hAs vIsIbLy dEcLiNeD At tHe bEnGaLuRu bRaNcH OvEr rEcEnT MoNtHs. I CaNnOt rEcOmMeNd tHiS PlAcE UnTiL StRiCt qUaLiTy sTaNdArDs aRe rEsToReD.",2024-06-05,Support Portal
TCK10009,CUS0109,RES006,Pricing,Medium,In Progress,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Chennai uncompetitive compared to other top biryani spots in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-04,Support Portal
TCK10010,,RES007,Delivery,Low,Closed,"Order tracking on the app showed 'Delivered' 20 minutes before the rider actually arrived at our house! When we contacted support, we received automated unhelpful responses. The delayed delvery resulted in soggy starters and cold biryanii. Highly frustrating logistics management that makes us hesitant to order again. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-21,Support Portal
