feedback_id,customer_id,restaurant_id,restaurant_name,city,rating,food_rating,delivery_rating,feedback_text,order_value,created_date,source,language
FB100201,CUS0021,RES006,BiryaniBox Chennai,Chennai,1,2,1,"Extremely disappointed with our dinner order from BiryaniBox Chennai. The Mutton Biryani rice tasted burnt and overcooked, while the mutton pieces were tough and rubbery. The salan was excessively salty and virtually inedible. We expected high standards from the Chennai branch, but quality control was completely missing today. Wasted our money and had to order food elsewhere. Immediate kitchen quality inspection is required. 🤢🤮👎",1329,2024-03-14,Zomato,English
FB100202,CUS0022,RES007,BiryaniBox Pune,Pune,3,3,4,Overpriced and disappointing! Prices at BiryaniBox Pune have increased by over 20% recently while portion sizes have visibly shrunk. Charging 450 INR for a single biryani with just two small chicken pieces is completely unreasonable. Adding platform fees and packaging charges makes it an exorbitant waste of money in Pune.,375,2024-05-25,Zomato,Telugu
FB100203,CUS0023,RES008,BiryaniBox Mumbai,Mumbai,1,1,1,"ThE BiRyAnIbOx aPp iS PlAgUeD WiTh sEvErE BuGs! It cRaShEd tHrEe tImEs wHiLe sElEcTiNg dElIvErY AdDrEsS In mUmBaI, rEsEtTiNg mY CaRt cOnTeNtS RePeAtEdLy. WhEn i aTtEmPtEd pAyMeNt, ThE ScReEn fRoZe oN A BlAnK WhItE BoX. wOrSt uSeR ExPeRiEnCe oN AnDrOiD. pLeAsE ReLeAsE An uRgEnT BuG FiX UpDaTe! FuRtHeRmOrE, tHe sTaFf hYgIeNe sTaNdArDs aNd oVeRaLl bRaNd cOnSiStEnCy aT BiRyAnIbOx mUmBaI ReMaIn cOmMeNdAbLe aCrOsS RePeAt vIsItS. wE LoOk fOrWaRd tO OrDeRiNg oUr nExT MeAl hErE SoOn.",1375,2024-07-02,Zomato,Hindi
FB100204,CUS0024,RES001,BiryaniBox Vijayawada,Vijayawada,5,5,4,"Prompt refund processing when an item was out of stock! The auto-refund was credited back to my UPI bank account within 10 minutes with clear SMS updates. Transparent financial handling that builds immense trust with customers in Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1255,2024-06-26,Zomato,English
FB100205,CUS0025,RES002,BiryaniBox Guntur,Guntur,2,1,2,"The management at the Guntur branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. ⭐⭐⭐⭐⭐",1327,2024-05-23,Zomato,Telugu
FB100206,CUS0026,RES003,BiryaniBox Hyderabad,Hyderabad,5,4,4,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Hyderabad branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon. 😡📦👎🏻",779,2024-03-06,Zomato,Hindi
FB100207,CUS0027,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,3,3,3,"The delivery from BiryaniBox Visakhapatnam took approximately 42 minutes, which felt slightly long given the short distance in Visakhapatnam. However, the food was still reasonably warm upon arrival. The driver had minor difficulty navigating our street, requiring a quick phone call for directions. Overall, an acceptable delivery experience, though app tracking could be updated more frequently during transit.",549,24/01/2024,Zomato,English
FB100208,CUS0028,RES005,BiryaniBox Bengaluru,Bengaluru,5,4,5,"Fantastic delivery experience for our late-night biryani cravings! The rider located our residence in Bengaluru effortlessly without calling multiple times for directions. The tin containers retained heat exceptionally well, ensuring the biryani and starter were steaming fresh when opened. Prompt, professional, and reliable service that makes ordering online a total pleasure. 🛵💨⚡",658,2024-07-08,Zomato,Telugu
FB100209,CUS0029,RES006,BiryaniBox Chennai,Chennai,5,5,5,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Chennai has never been easier or faster. Kudos to the tech development team!",436,2024-01-31,Zomato,Hindi
FB100210,CUS0030,RES007,BiryaniBox Pune,Pune,3,4,2,"Zero waiting time on a busy Friday night at BiryaniBox Pune! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Pune. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",597,2024-04-23,Zomato,English
FB100211,CUS0031,RES008,BiryaniBox Mumbai,Mumbai,4,4,4,"Excellent queue management system using SMS notifications. We were given a token number and received an automated text when our table was ready in 8 minutes. Organized and hassle-free waiting experience at the Mumbai location. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1016,2024-03-22,Zomato,Telugu
FB100212,CUS0032,RES001,BiryaniBox Vijayawada,Vijayawada,1,2,1,"The BiryaniBox app is plagued with severe bugs! It crashed three times while selecting delivery address in Vijayawada, resetting my cart contents repeatedly. When I attempted payment, the screen froze on a blank white box. Worst user experience on Android. Please release an urgent bug fix update! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😡📦👎🏻",503,2024-02-12,Zomato,Hindi
FB100213,,RES002,BiryaniBox Guntur,Guntur,2,2,3,"Very poor packaging quality. The delivery bag arrived torn at the bottom due to grease leakage from unsealed biryani containers. The food was lukewarm and unhygienic because the lid had popped open during transport. Unacceptable quality standards for a reputed brand like BiryaniBox in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1376,22/03/2024,Zomato,English
FB100214,CUS0034,RES003,BiryaniBox Hyderabad,Hyderabad,1,1,2,"   Extremely  disappointed  with  our  dinner  order  from  BiryaniBox  Hyderabad.  The  Mutton  Biryani  rice  tasted  burnt  and  overcooked,  while  the  mutton  pieces  were  tough  and  rubbery.  The  salan  was  excessively  salty  and  virtually  inedible.  We  expected  high  standards  from  the  Hyderabad  branch,  but  quality  control  was  completely  missing  today.  Wasted  our  money  and  had  to  order  food  elsewhere.  Immediate  kitchen  quality  inspection  is  required.   ",645,2024-05-20,Zomato,Telugu
FB100215,CUS0035,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,5,5,5,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by biryaniiBox Visakhapatnam. Even during a long transit across Visakhapatnam, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delvery bag. Thoughtful packaging that enhances the overall meal experience.",860,2024-07-07,Zomato,Hindi
FB100216,CUS0036,RES005,BiryaniBox Bengaluru,Bengaluru,3,4,2,"Extremely poor delivery coordination. The rider assigned to our order got lost in Bengaluru and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly.",597,2024-07-05,Zomato,English
FB100217,CUS0037,RES006,BiryaniBox Chennai,Chennai,4,3,4,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Chennai customers.",753,2024-01-28,Zomato,Telugu
FB100218,CUS0038,RES007,BiryaniBox Pune,Pune,5,5,5,"Impressed by the ultra-fast delivery service from BiryaniBox Pune! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Pune.",750,2024-07-07,Zomato,Hindi
FB100219,CUS0039,RES008,BiryaniBox Mumbai,Mumbai,,5,5,"Visited BiryaniBox Mumbai with colleagues for lunch and ordered the Mutton Fry Piece Biryani along with Apollo Fish. The meat was tender, falling off the bone effortlesly, and the ghee flavor in the rice was rich without feeling excessively heavy. The spices were perfectly balanced, satisfying everyone at our table. The starters were served piping hot with fresh onion rings and lemon wedges. Excellent culinary quality and great value for money in the Mumbai dining scene. 😍🍚❤️",1047,2024-05-05,Zomato,English
FB100220,CUS0040,RES001,BiryaniBox Vijayawada,Vijayawada,3,4,2,"The staff at BiryaniBox Vijayawada was professional but seemed overwhelmed by the weekend crowd in Vijayawada. Service was somewhat formal and hurried, though our table requests were eventually fulfilled. Standard hospitality overall, but hiring additional servers during peak hours would help ease staff stress. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",766,2024-01-14,Zomato,Telugu
FB100221,CUS0041,RES002,BiryaniBox Guntur,Guntur,1,1,1,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Guntur! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",1315,2024-03-22,Zomato,Hindi
FB100222,CUS0042,RES003,BiryaniBox Hyderabad,Hyderabad,3,3,2,"Moderate waiting queue at the entrance. The host managed seating fairly, taking around 15 minutes to assign us a table for four. Standard weekend waiting time. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1244,2024-01-22,Zomato,English
FB100223,CUS0043,RES004,BiryaniBox Visakhapatnam,Visakhapatnam,1,1,1,"The Chicken Dum Biryani delivered today from BiryaniBox Visakhapatnam was dripping in excess oil, making the bottom layer of rice completely soggy. The spices tasted raw and unblended, causing severe stomach discomfort later in the evening. Quality has visibly declined at the Visakhapatnam branch over recent months. I cannot recommend this place until strict quality standards are restored.",941,2024-03-09,Zomato,Telugu
FB100224,CUS0044,RES005,BiryaniBox Bengaluru,Bengaluru,5,5,5,"Impressed by the ultra-fast delivery service from BiryaniBox Bengaluru! The food arrived in just 22 minutes, well ahead of the estimated arrival time. The delivery partner was extremely polite, wore a clean uniform, and followed all drop-off instructions accurately. The packaging was piping hot and completely sealed with zero spillage. Seamless experience from app order placement to final delivery in Bengaluru.",996,2024-07-22,Zomato,Hindi
FB100225,CUS0045,RES006,BiryaniBox Chennai,Chennai,4,3,3,"We ordered the Hyderabadi Chicken Dum Biryani and Special Boneless Starter from the Chennai branch for a weekend family gathering. The aromatic basmati rice was cooked to perfection with rich ghee, cardamom, and authentic spices that elevated every bite. The chicken pieces were remarkably juicy and tender throughout. The mirchi ka salan and refreshing curd raita complemented the main dish beautifully. Portion size was very generous, easily satisfying our entire group. We will definitely order again soon.",1386,2024-02-06,Zomato,English
FB100226,CUS0046,RES007,BiryaniBox Pune,Pune,3,3,2,"Decent app design. Cart creation and coupon application work fine, though push notifications regarding promotions are a bit too frequent. A setting to customize notification preferences would be appreciated. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1155,2024-04-27,Zomato,Telugu
FB100227,CUS0047,RES008,BiryaniBox Mumbai,Mumbai,3,2,3,"The payment process was straightforward. Used credit card at checkout with normal verification steps. No special discount codes were active for my card issuer today, but checkout was completed without issues. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",1520,2024-01-27,Zomato,Hindi
