email_id,customer_id,subject,feedback_text,priority,created_date,source
EML10001,CUS0121,Detailed Feedback regarding Staff Behaviour - BiryaniBox Guntur,"Had an incredible dine-in experience at BiryaniBox Guntur! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Guntur.",High,2024-05-04,Customer Email
EML10002,CUS0122,Detailed Feedback regarding Delivery - BiryaniBox Hyderabad,"Extremely poor delivery coordination. The rider assigned to our order got lost in Hyderabad and kept arguing over the phone instead of checking GPS directions. By the time he reached our location, the food was stone cold and unappetizing. Furthermore, the delivery partner was rude when handed payment. BiryaniBox must train their delivery personnel properly. www.swiggy.com/review/98214",Low,2024-02-27,Customer Email
EML10003,CUS0123,Detailed Feedback regarding Payment - BiryaniBox Visakhapatnam,"Failed card transaction error on the POS machine at Visakhapatnam branch. The cashier charged my card twice asserting the first attempt failed, but both amounts were deducted from my account. Poor billing handling and unhelpful resolution from branch management. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-03-24,Customer Email
EML10004,CUS0124,Detailed Feedback regarding Delivery - BiryaniBox Bengaluru,"Order placed during peak Sunday lunch hour was delivered in under 30 minutes by the BiryaniBox Bengaluru team. Real-time GPS tracking on the mobile app was pinpoint accurate. The driver handled the parcel with care, ensuring the salan pouches and raita cups remained intact without leaking. Kudos to the logistics team for managing rush hour so efficiently.",High,2024-07-19,Customer Email
EML10005,CUS0125,Detailed Feedback regarding Staff Behaviour - BiryaniBox Chennai,"The restaurant personnel at BiryaniBox Chennai were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-05-22,Customer Email
EML10006,CUS0126,Detailed Feedback regarding Pricing - BiryaniBox Pune,"Extremely poor value for money. The portion size delivered today was barely enough for one person despite paying for a 'Special Jumbo' pack. High prices combined with mediocre food quality make BiryaniBox Pune uncompetitive compared to other top biryani spots in Pune. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-01-16,Customer Email
EML10007,CUS0127,Detailed Feedback regarding Food Quality - BiryaniBox Mumbai,"Received cold and stale biryani from the Mumbai outlet. The chicken pieces had an unpleasant odor, indicating they were reheated leftovers rather than freshly prepared dum biryani. To make matters worse, the raita had turned sour. When we raised a complaint, the response was indifferent. Extremely unhygienic and poor food quality that completely ruined our family dinner experience. 🤢🤮👎",Low,2024-05-08,Customer Email
EML10008,CUS0128,Detailed Feedback regarding Delivery - BiryaniBox Vijayawada,"ExTrEmElY PoOr dElIvErY CoOrDiNaTiOn. ThE RiDeR AsSiGnEd tO OuR OrDeR GoT LoSt iN ViJaYaWaDa aNd kEpT ArGuInG OvEr tHe pHoNe iNsTeAd oF ChEcKiNg gPs dIrEcTiOnS. bY ThE TiMe hE ReAcHeD OuR LoCaTiOn, ThE FoOd wAs sToNe cOlD AnD UnApPeTiZiNg. FuRtHeRmOrE, tHe dElIvErY PaRtNeR WaS RuDe wHeN HaNdEd pAyMeNt. BiRyAnIbOx mUsT TrAiN ThEiR DeLiVeRy pErSoNnEl pRoPeRlY.",High,2024-05-21,Customer Email
EML10009,CUS0129,Detailed Feedback regarding Staff Behaviour - BiryaniBox Guntur,"The management at the Guntur branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Guntur. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-03-06,Customer Email
EML10010,CUS0130,Detailed Feedback regarding App Issues - BiryaniBox Hyderabad,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Hyderabad has never been easier or faster. Kudos to the tech development team!",High,2024-01-31,Customer Email
