request_id,customer_id,feature_category,feature_title,feedback_text,priority,created_date,source
REQ10001,CUS0141,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Chennai,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-07-07,Feature Request Portal
REQ10002,CUS0142,Menu Options,Enhancement Request: Menu Options for BiryaniBox Pune,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-05-23,Feature Request Portal
REQ10003,CUS0143,Payment Options,Enhancement Request: Payment Options for BiryaniBox Mumbai,"   Slick  app  experience  with  instant  login  via  OTP.  Saving  favorite  delivery  addresses  and  re-ordering  past  meals  takes  just  two  taps.  Notifications  regarding  order  status  and  discount  offers  are  timely  without  feeling  spammy.  5  stars  for  app  usability!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Mumbai  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",Low,2024-01-07,Feature Request Portal
REQ10004,CUS0144,App Functionality,Enhancement Request: App Functionality for BiryaniBox Vijayawada,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon. 😡📦👎🏻",Low,2024-04-25,Feature Request Portal
REQ10005,CUS0145,Payment Options,Enhancement Request: Payment Options for BiryaniBox Guntur,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-05-30,Feature Request Portal
REQ10006,CUS0146,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Hyderabad,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-07-03,Feature Request Portal
REQ10007,CUS0147,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Visakhapatnam,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Visakhapatnam has never been easier or faster. Kudos to the tech development team!",Critical,2024-06-26,Feature Request Portal
REQ10008,CUS0148,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Bengaluru,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Bengaluru has never been easier or faster. Kudos to the tech development team!",Low,2024-04-26,Feature Request Portal
REQ10009,CUS0149,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🛵💨⚡",High,2024-02-18,Feature Request Portal
REQ10010,CUS0150,Payment Options,Enhancement Request: Payment Options for BiryaniBox Pune,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Pune has never been easier or faster. Kudos to the tech development team!",Critical,2024-02-20,Feature Request Portal
REQ10011,,Menu Options,Enhancement Request: Menu Options for BiryaniBox Mumbai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-07-04,Feature Request Portal
REQ10012,CUS0152,Menu Options,Enhancement Request: Menu Options for BiryaniBox Vijayawada,"Slick app experience with instant login via OTP. Saving favorite delvery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-04-05,Feature Request Portal
REQ10013,CUS0153,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Guntur,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Guntur has never been easier or faster. Kudos to the tech development team!",Low,2024-03-15,Feature Request Portal
REQ10014,CUS0154,App Functionality,Enhancement Request: App Functionality for BiryaniBox Hyderabad,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-07-01,Feature Request Portal
REQ10015,CUS0155,App Functionality,Enhancement Request: App Functionality for BiryaniBox Visakhapatnam,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Visakhapatnam has never been easier or faster. Kudos to the tech development team!",Medium,2024-04-05,Feature Request Portal
REQ10016,CUS0156,Payment Options,Enhancement Request: Payment Options for BiryaniBox Bengaluru,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-07-24,Feature Request Portal
REQ10017,,Payment Options,Enhancement Request: Payment Options for BiryaniBox Chennai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Chennai has never been easier or faster. Kudos to the tech development team!",Critical,2024-05-15,Feature Request Portal
REQ10018,CUS0158,App Functionality,Enhancement Request: App Functionality for BiryaniBox Pune,"Flawless digital experience from menu browsing to final payment. The search bar auto-suggests popular starters and combos intelligently. Zero bugs or crashes encountered on Android. Highly refined mobile app! Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",High,2024-06-22,Feature Request Portal
REQ10019,CUS0159,Menu Options,Enhancement Request: Menu Options for BiryaniBox Mumbai,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Mumbai has never been easier or faster. Kudos to the tech development team!",Medium,2024-03-01,Feature Request Portal
REQ10020,CUS0160,Menu Options,Enhancement Request: Menu Options for BiryaniBox Vijayawada,"<br/>Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Medium,2024-02-19,Feature Request Portal
REQ10021,CUS0161,Delivery Customization,Enhancement Request: Delivery Customization for BiryaniBox Guntur,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Guntur has never been easier or faster. Kudos to the tech development team!",Critical,2024-04-30,Feature Request Portal
REQ10022,CUS0162,App Functionality,Enhancement Request: App Functionality for BiryaniBox Hyderabad,"   Slick  app  experience  with  instant  login  via  OTP.  Saving  favorite  delivery  addresses  and  re-ordering  past  meals  takes  just  two  taps.  Notifications  regarding  order  status  and  discount  offers  are  timely  without  feeling  spammy.  5  stars  for  app  usability!  Furthermore,  the  staff  hygiene  standards  and  overall  brand  consistency  at  BiryaniBox  Hyderabad  remain  commendable  across  repeat  visits.  We  look  forward  to  ordering  our  next  meal  here  soon.   ",Critical,2024-07-10,Feature Request Portal
REQ10023,CUS0163,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Visakhapatnam,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Low,2024-04-23,Feature Request Portal
REQ10024,CUS0164,Loyalty & Rewards,Enhancement Request: Loyalty & Rewards for BiryaniBox Bengaluru,"   The  new  BiryaniBox  mobile  application  is  brilliant!  Clean,  modern  UI  with  smooth  category  navigation  and  quick  customization  sliders  for  spice  levels  and  extra  salan.  The  live  GPS  rider  tracking  feature  works  with  pinpoint  accuracy.  Ordering  biryani  in  Bengaluru  has  never  been  easier  or  faster.  Kudos  to  the  tech  development  team!   ",Critical,2024-06-26,Feature Request Portal
REQ10025,CUS0165,App Functionality,Enhancement Request: App Functionality for BiryaniBox Chennai,"Slick app experience with instant login via OTP. Saving favorite delivery addresses and re-ordering past meals takes just two taps. Notifications regarding order status and discount offers are timely without feeling spammy. 5 stars for app usability! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",Critical,2024-04-20,Feature Request Portal
