feedback_id,customer_id,restaurant_id,staff_rating,food_rating,ambience_rating,feedback_text,created_date,source
FB100601,CUS0161,RES002,4,3,1,"Excellent queue management system using SMS notifications. We were given a token number and received an automated text when our table was ready in 8 minutes. Organized and hassle-free waiting experience at the Guntur location. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-03,Walk-in Kiosk
FB100602,CUS0162,RES003,3,3,1,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon. 🤢🤮👎",2024-01-29,Walk-in Kiosk
FB100603,CUS0163,RES004,3,2,1,"<b>Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.</b>",05-May-2024,Walk-in Kiosk
FB100604,CUS0164,RES005,2,1,1,"Extreme delay in kitchen output during lunch hour. We sat at the table for 40 minutes before even receiving water or cutlery. Food arrived lukewarm after an hour. Total operational failure at the Bengaluru branch. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-27,Walk-in Kiosk
FB100605,CUS0165,RES006,4,5,3,"The restaurant personnel at BiryaniBox Chennai were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-06,Walk-in Kiosk
FB100606,CUS0166,RES007,5,3,2,"Zero waiting time on a busy Friday night at BiryaniBox Pune! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Pune. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-25,Walk-in Kiosk
FB100607,CUS0167,RES008,1,4,4,"The management at the Mumbai branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-20,Walk-in Kiosk
FB100608,CUS0168,RES001,5,3,3,"Excellent queue management system using SMS notifications. We were given a token number and received an automated text when our table was ready in 8 minutes. Organized and hassle-free waiting experience at the Vijayawada location. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-04,Walk-in Kiosk
FB100609,CUS0169,RES002,5,2,3,"Excellent queue management system using SMS notifications. We were given a token number and received an automated text when our table was ready in 8 minutes. Organized and hassle-free waiting experience at the Guntur location. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-23,Walk-in Kiosk
FB100610,CUS0170,RES003,5,2,2,"<div class=""review-box"">Zero waiting time on a busy Friday night at BiryaniBox Hyderabad! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Hyderabad. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.</div>",2024-01-29,Walk-in Kiosk
FB100611,CUS0171,RES004,1,2,5,"Exorbitant waiting time exceeding 50 minutes at BiryaniBox Visakhapatnam! Staff kept repeatedly assuring us 'just 5 more minutes' without tracking the actual queue. People who arrived after us were seated earlier due to favoritism. Terribly mismanaged crowd handling that ruined our Sunday evening in Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-19,Walk-in Kiosk
FB100612,CUS0172,RES005,3,4,4,"Appalling staff behavior at BiryaniBox Bengaluru! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-07-24,Walk-in Kiosk
FB100613,CUS0173,RES006,1,3,5,"Appalling staff behavior at BiryaniBox Chennai! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-30,Walk-in Kiosk
FB100614,CUS0174,RES007,5,1,1,"Zero waiting time on a busy Friday night at BiryaniBox Pune! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Pune. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-24,Walk-in Kiosk
FB100615,CUS0175,RES008,2,5,5,"Stood outside in the heat for over 45 minutes despite pre-booking a table online! When we finally got seated, the kitchen took another 35 minutes to bring out two basic chicken biryanis. Unacceptable operational delays that test customer patience. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-02,Walk-in Kiosk
FB100616,CUS0176,RES001,3,4,2,"Appalling staff behavior at BiryaniBox Vijayawada! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-06,Walk-in Kiosk
FB100617,CUS0177,RES002,5,2,4,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",2024-03-19,Walk-in Kiosk
FB100618,CUS0178,RES003,2,1,5,"Appalling staff behavior at BiryaniBox Hyderabad! The waiter was extremely rude, condescending, and indifferent when we politely inquired about our delayed order after 35 minutes of waiting. Rather than resolving the issue, he argued aggressively in front of other guests. Unprofessional conduct that ruined our lunch in Hyderabad. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-09,Walk-in Kiosk
FB100619,CUS0179,RES004,5,3,2,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon. www.swiggy.com/review/98214",2024-07-18,Walk-in Kiosk
FB100620,CUS0180,RES005,1,2,2,"Inattentive and careless floor staff. Waiters ignored our table for 20 minutes while attending exclusively to larger bill groups. Cutlery was dropped noisily without an apology, and our feedback was dismissed casually. Worst customer service experience we have encountered in Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-01,Walk-in Kiosk
FB100621,CUS0181,RES006,1,3,5,"The management at the Chennai branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Chennai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-14,Walk-in Kiosk
FB100622,CUS0182,RES007,5,5,2,"Had an incredible dine-in experience at BiryaniBox Pune! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Pune.",2024-03-21,Walk-in Kiosk
FB100623,CUS0183,RES008,1,5,5,"The management at the Mumbai branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Mumbai. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Mumbai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-02-26,Walk-in Kiosk
FB100624,CUS0184,RES001,1,3,5,"The management at the Vijayawada branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Vijayawada. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Vijayawada remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-01,Walk-in Kiosk
FB100625,,RES002,5,3,1,"Had an incredible dine-in experience at BiryaniBox Guntur! The waitstaff was exceptionally polite, welcoming, and attentive to our family's needs throughout dinner. The restaurant captain patiently guided us through the menu options and customized the spice level for our children. Service was prompt, hygienic, and courteous. Outstanding hospitality that sets a benchmark in Guntur.",2024-02-06,Walk-in Kiosk
FB100626,CUS0186,RES003,5,1,5,"Zero waiting time on a busy Friday night at BiryaniBox Hyderabad! We were seated immediately upon arrival, and our order of Special Mutton Biryani was served piping hot within 10 minutes. The kitchen operates with incredible speed and efficiency in Hyderabad. Outstanding table turnover and kitchen management! Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-26,Walk-in Kiosk
FB100627,CUS0187,RES004,3,1,3,"The management at the Visakhapatnam branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Visakhapatnam. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-05-12,Walk-in Kiosk
FB100628,CUS0188,RES005,1,1,2,"The management at the Bengaluru branch showed complete apathy when we pointed out a wrong item on our bill. Instead of rectifying the billing error politely, the cashier argued loudly. Shocking lack of basic hospitality training at BiryaniBox Bengaluru. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-17,Walk-in Kiosk
FB100629,CUS0189,RES006,4,5,1,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",11-Jun-2024,Walk-in Kiosk
