feedback_id,source,app_name,feedback_text,rating,created_date,language,platform
FDBK00001,Support Ticket,Zomato,The food was cold when it arrived. After the latest update. It happened more than once. Please fix this soon.,5.0,2025-04-25,English,Android
FDBK00002,Survey,Swiggy,The biryani tasted amazing and was very fresh. On my android phone. It happened more than once. Please fix this soon.,4.0,2025-04-15,English,Android
FDBK00003,Email,Swiggy,The restaurant staff were rude. On my iphone. It happened more than once. Please fix this soon.,4.0,12/08/2025,Telugu,Android
FDBK00004,Survey,Grubhub,The portion size was too small for the price. When using mobile data. It happened more than once. Please fix this soon.,2.0,"Jul 13, 2026",English,Android
FDBK00005,Support Ticket,Zomato,The restaurant packaging was damaged. After reopening the app. It happened more than once. Please fix this soon.,2.0,"Jun 13, 2025",English,iOS
FDBK00006,Google Play,DoorDash,The food was too spicy and oily. During a busy lunch period. It happened more than once. Please fix this soon.,3.0,2025-04-15,English,iOS
FDBK00007,Google Play,Uber Eats,The restaurant ambience was excellent. While using the latest app version. It happened more than once. Please fix this soon.,4.0,"Feb 14, 2025",English,iOS
FDBK00008,Google Play,Swiggy,The chicken was undercooked. When trying to complete checkout. It happened more than once. Please fix this soon.,5.0,06/01/2026,Tamil,Android
FDBK00009,App Store,Swiggy,The food was cold when it arrived. After returning to the app. It happened more than once. Please fix this soon.,,2025-10-24,Hindi,iOS
FDBK00010,Support Ticket,DoorDash,The biryani tasted amazing and was very fresh. While ordering from a saved address. It happened more than once. Please fix this soon.,2.0,10-04-2026,English,iOS
FDBK00011,Social Media,Zomato,The restaurant staff were rude. When switching between wi-fi and mobile data. It happened more than once. Please fix this soon.,4.0,15/03/2025,English,Web
FDBK00012,Social Media,Grubhub,The portion size was too small for the price. During the evening. It happened more than once. Please fix this soon.,5.0,24-01-2026,English,iOS
FDBK00013,Google Play,DoorDash,The restaurant packaging was damaged. After placing a second order. It happened more than once. Please fix this soon.,,27/02/2025,Hindi,iOS
FDBK00014,Social Media,DoorDash,The food was too spicy and oily. When several items are in the cart. It happened more than once. Please fix this soon.,4.0,09/03/2025,English,Web
FDBK00015,Support Ticket,Zomato,The restaurant ambience was excellent. While checking a previous order. It happened more than once. Please fix this soon.,2.0,"Feb 10, 2026",English,iOS
FDBK00016,App Store,Zomato,The chicken was undercooked. After the latest update. This has happened several times today. Please fix this soon.,2.0,"Mar 15, 2026",Telugu,Web
FDBK00017,Google Play,Zomato,The food was cold when it arrived. On my android phone. This has happened several times today. Please fix this soon.,,2025-04-04,Tamil,Android
FDBK00018,Survey,Grubhub,The biryani tasted amazing and was very fresh. On my iphone. This has happened several times today. Please fix this soon.,3.0,2026-03-09,Hindi,iOS
FDBK00019,Social Media,Swiggy,The restaurant staff were rude. When using mobile data. This has happened several times today. Please fix this soon.,5.0,2026-07-21,Tamil,iOS
FDBK00020,Survey,Zomato,The portion size was too small for the price. After reopening the app. This has happened several times today. Please fix this soon.,2.0,2025-12-15,Hindi,Android
FDBK00021,Google Play,DoorDash,The restaurant packaging was damaged. During a busy lunch period. This has happened several times today. Please fix this soon.,4.0,27/09/2025,Tamil,Android
FDBK00022,App Store,Grubhub,The food was too spicy and oily. While using the latest app version. This has happened several times today. Please fix this soon.,,06-06-2025,Telugu,Android
FDBK00023,Google Play,DoorDash,The restaurant ambience was excellent. When trying to complete checkout. This has happened several times today. Please fix this soon.,1.0,"Nov 28, 2025",English,Android
FDBK00024,Google Play,Swiggy,The chicken was undercooked. After returning to the app. This has happened several times today. Please fix this soon.,4.0,01/03/2025,Tamil,Web
FDBK00025,Social Media,Uber Eats,The food was cold when it arrived. While ordering from a saved address. This has happened several times today. Please fix this soon.,2.0,12/03/2025,Telugu,Android
FDBK00026,Email,Zomato,The biryani tasted amazing and was very fresh. When switching between wi-fi and mobile data. This has happened several times today. Please fix this soon.,2.0,"Sep 29, 2025",Tamil,iOS
FDBK00027,Email,Uber Eats,The restaurant staff were rude. During the evening. This has happened several times today. Please fix this soon.,3.0,13-02-2026,English,Android
FDBK00028,Google Play,Grubhub,The portion size was too small for the price. After placing a second order. This has happened several times today. Please fix this soon.,2.0,2025-08-19,Telugu,Android
FDBK00029,Social Media,Swiggy,The restaurant packaging was damaged. When several items are in the cart. This has happened several times today. Please fix this soon.,1.0,2025-08-14,English,Android
FDBK00030,Email,Zomato,The food was too spicy and oily. While checking a previous order. This has happened several times today. Please fix this soon.,1.0,02-02-2025,English,Web
FDBK00031,Email,Grubhub,The restaurant ambience was excellent. After the latest update. I had to restart the app to continue. Please fix this soon.,5.0,08/08/2025,Hindi,Android
FDBK00032,Google Play,Swiggy,The chicken was undercooked. On my android phone. I had to restart the app to continue. Please fix this soon.,2.0,"Apr 30, 2026",Tamil,Web
FDBK00033,Survey,Swiggy,The food was cold when it arrived. On my iphone. I had to restart the app to continue. Please fix this soon.,3.0,"Dec 29, 2025",Tamil,Android
FDBK00034,Support Ticket,Swiggy,The biryani tasted amazing and was very fresh. When using mobile data. I had to restart the app to continue. Please fix this soon.,5.0,"Mar 04, 2025",English,Android
FDBK00035,Survey,Zomato,The restaurant staff were rude. After reopening the app. I had to restart the app to continue. Please fix this soon.,2.0,"Jul 14, 2025",English,Web
FDBK00036,Email,Swiggy,The portion size was too small for the price. During a busy lunch period. I had to restart the app to continue. Please fix this soon.,3.0,2025-09-13,English,Android
FDBK00037,Survey,Uber Eats,The restaurant packaging was damaged. While using the latest app version. I had to restart the app to continue. Please fix this soon.,2.0,06/04/2025,Hindi,Android
FDBK00038,Survey,Swiggy,The food was too spicy and oily. When trying to complete checkout. I had to restart the app to continue. Please fix this soon.,2.0,2026-02-15,Hindi,iOS
FDBK00039,Social Media,Grubhub,The restaurant ambience was excellent. After returning to the app. I had to restart the app to continue. Please fix this soon.,3.0,11-04-2026,Tamil,Web
FDBK00040,App Store,Swiggy,The chicken was undercooked. While ordering from a saved address. I had to restart the app to continue. Please fix this soon.,2.0,08/06/2025,Telugu,Android
FDBK00041,Email,Uber Eats,The food was cold when it arrived. When switching between wi-fi and mobile data. I had to restart the app to continue. Please fix this soon.,1.0,2025-11-18,Telugu,Android
FDBK00042,App Store,Swiggy,The biryani tasted amazing and was very fresh. During the evening. I had to restart the app to continue. Please fix this soon.,,2025-02-28,Telugu,Android
FDBK00043,Email,Zomato,The restaurant staff were rude. After placing a second order. I had to restart the app to continue. Please fix this soon.,1.0,"Aug 29, 2025",Telugu,Android
FDBK00044,Email,Grubhub,The portion size was too small for the price. When several items are in the cart. I had to restart the app to continue. Please fix this soon.,5.0,"Mar 25, 2025",Telugu,iOS
FDBK00045,Social Media,DoorDash,The restaurant packaging was damaged. While checking a previous order. I had to restart the app to continue. Please fix this soon.,5.0,25/09/2025,English,iOS
FDBK00046,Social Media,DoorDash,The food was too spicy and oily. After the latest update. I had to try the same action again. Please fix this soon.,5.0,10/02/2026,Hindi,iOS
FDBK00047,Email,Grubhub,The restaurant ambience was excellent. On my android phone. I had to try the same action again. Please fix this soon.,3.0,2025-03-16,English,Android
FDBK00048,Support Ticket,Zomato,The chicken was undercooked. On my iphone. I had to try the same action again. Please fix this soon.,4.0,05/07/2026,English,Android
FDBK00049,App Store,Uber Eats,The food was cold when it arrived. When using mobile data. I had to try the same action again. Please fix this soon.,2.0,08-09-2025,Telugu,iOS
FDBK00050,Email,DoorDash,The biryani tasted amazing and was very fresh. After reopening the app. I had to try the same action again. Please fix this soon.,5.0,2026-06-26,Tamil,Android
FDBK00051,Google Play,Grubhub,The restaurant staff were rude. During a busy lunch period. I had to try the same action again. Please fix this soon.,1.0,18-05-2025,English,iOS
FDBK00052,Support Ticket,Zomato,The portion size was too small for the price. While using the latest app version. I had to try the same action again. Please fix this soon.,5.0,16/10/2025,Tamil,iOS
FDBK00053,Google Play,Swiggy,The restaurant packaging was damaged. When trying to complete checkout. I had to try the same action again. Please fix this soon.,2.0,"Jun 02, 2026",Tamil,Web
FDBK00054,Support Ticket,Zomato,The food was too spicy and oily. After returning to the app. I had to try the same action again. Please fix this soon.,1.0,2025-10-11,Tamil,iOS
FDBK00055,Social Media,Uber Eats,The restaurant ambience was excellent. While ordering from a saved address. I had to try the same action again. Please fix this soon.,4.0,"Jun 15, 2025",Telugu,Android
FDBK00056,App Store,Grubhub,The chicken was undercooked. When switching between wi-fi and mobile data. I had to try the same action again. Please fix this soon.,5.0,2025-04-25,English,iOS
FDBK00057,App Store,Swiggy,The food was cold when it arrived. During the evening. I had to try the same action again. Please fix this soon.,3.0,20/07/2026,English,iOS
FDBK00058,Social Media,Zomato,The biryani tasted amazing and was very fresh. After placing a second order. I had to try the same action again. Please fix this soon.,2.0,10-02-2025,Tamil,Android
FDBK00059,Social Media,Zomato,The restaurant staff were rude. When several items are in the cart. I had to try the same action again. Please fix this soon.,4.0,"Dec 29, 2025",English,Android
FDBK00060,App Store,DoorDash,The portion size was too small for the price. While checking a previous order. I had to try the same action again. Please fix this soon.,1.0,"Jul 01, 2025",Hindi,Android
FDBK00061,Social Media,Swiggy,The restaurant packaging was damaged. After the latest update. The problem made the order process difficult. Please fix this soon.,,01/10/2025,Hindi,Android
FDBK00062,Survey,DoorDash,The food was too spicy and oily. On my android phone. The problem made the order process difficult. Please fix this soon.,2.0,27/04/2026,English,Android
FDBK00063,App Store,Uber Eats,The restaurant ambience was excellent. On my iphone. The problem made the order process difficult. Please fix this soon.,5.0,2025-08-17,English,iOS
FDBK00064,Social Media,Grubhub,The chicken was undercooked. When using mobile data. The problem made the order process difficult. Please fix this soon.,2.0,13-03-2025,Hindi,iOS
FDBK00065,App Store,Grubhub,The food was cold when it arrived. After reopening the app. The problem made the order process difficult. Please fix this soon.,2.0,2025-01-29,English,Android
FDBK00066,Social Media,DoorDash,The biryani tasted amazing and was very fresh. During a busy lunch period. The problem made the order process difficult. Please fix this soon.,2.0,"Apr 22, 2025",Hindi,Android
FDBK00067,Google Play,Uber Eats,The restaurant staff were rude. While using the latest app version. The problem made the order process difficult. Please fix this soon.,2.0,30/01/2026,English,Android
FDBK00068,Social Media,DoorDash,The portion size was too small for the price. When trying to complete checkout. The problem made the order process difficult. Please fix this soon.,1.0,"Jan 08, 2026",Telugu,iOS
FDBK00069,Support Ticket,Uber Eats,The restaurant packaging was damaged. After returning to the app. The problem made the order process difficult. Please fix this soon.,4.0,08-05-2025,English,Web
FDBK00070,Survey,Uber Eats,The food was too spicy and oily. While ordering from a saved address. The problem made the order process difficult. Please fix this soon.,2.0,30/10/2025,Tamil,Android
FDBK00071,Google Play,DoorDash,The restaurant ambience was excellent. When switching between wi-fi and mobile data. The problem made the order process difficult. Please fix this soon.,4.0,"Nov 05, 2025",English,Android
FDBK00072,Survey,Uber Eats,The chicken was undercooked. During the evening. The problem made the order process difficult. Please fix this soon.,3.0,17-03-2026,Tamil,Android
FDBK00073,Social Media,Zomato,The food was cold when it arrived. After placing a second order. The problem made the order process difficult. Please fix this soon.,,"Jun 08, 2026",Tamil,Android
FDBK00074,App Store,DoorDash,The biryani tasted amazing and was very fresh. When several items are in the cart. The problem made the order process difficult. Please fix this soon.,1.0,18-10-2025,English,Android
FDBK00075,App Store,Uber Eats,The restaurant staff were rude. While checking a previous order. The problem made the order process difficult. Please fix this soon.,1.0,2025-05-31,Telugu,Android
FDBK00076,Email,Zomato,The portion size was too small for the price. After the latest update. The issue is still happening. Please fix this soon.,5.0,"Apr 12, 2026",Tamil,Web
FDBK00077,App Store,Swiggy,The restaurant packaging was damaged. On my android phone. The issue is still happening. Please fix this soon.,2.0,"May 22, 2026",English,Web
FDBK00078,Social Media,Grubhub,The food was too spicy and oily. On my iphone. The issue is still happening. Please fix this soon.,,13/08/2025,Hindi,Android
FDBK00079,Google Play,Uber Eats,The restaurant ambience was excellent. When using mobile data. The issue is still happening. Please fix this soon.,,25/07/2026,English,Web
