review_id,restaurant,menu_item,rating,review,date
1,Burger Barn,Pizza,5,Great customer service. Ordered Pizza.,2026-03-04
2,Cafe Aroma,Pasta,2,Delivery was late. Ordered Pasta.,2026-06-23
3,Burger Barn,Sandwich,2,Food arrived cold. Ordered Sandwich.,2026-01-08
4,Burger Barn,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-05-10
5,Pizza Hub,Biryani,3,Too expensive for the portion. Ordered Biryani.,2026-04-18
6,Cafe Aroma,Coffee,5,Easy ordering experience. Ordered Coffee.,2026-03-13
7,Pizza Hub,Pasta,1,App payment failed. Ordered Pasta.,2026-03-29
8,Taco Town,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-03-28
9,Burger Barn,Burger,1,App payment failed. Ordered Burger.,2026-01-25
10,Sushi Spot,Sushi,5,Easy ordering experience. Ordered Sushi.,2026-03-09
11,Pizza Hub,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-02-01
12,Biryani House,Burger,3,Too expensive for the portion. Ordered Burger.,2026-03-17
13,Sushi Spot,Biryani,2,Delivery was late. Ordered Biryani.,2026-01-12
14,Cafe Aroma,Taco,2,Delivery was late. Ordered Taco.,2026-03-01
15,Burger Barn,Sandwich,5,Great customer service. Ordered Sandwich.,2026-04-27
16,Sushi Spot,Pasta,1,Order was incorrect. Ordered Pasta.,2026-04-01
17,Cafe Aroma,Taco,2,Delivery was late. Ordered Taco.,2026-06-05
18,Spice Villa,Biryani,2,Packaging was damaged. Ordered Biryani.,2026-04-29
19,Biryani House,Taco,3,Too expensive for the portion. Ordered Taco.,2026-02-26
20,Sushi Spot,Pizza,5,Excellent taste and fresh food. Ordered Pizza.,2026-01-09
21,Sushi Spot,Sandwich,5,Great customer service. Ordered Sandwich.,2026-01-17
22,Cafe Aroma,Sushi,5,Excellent taste and fresh food. Ordered Sushi.,2026-06-17
23,Pasta Point,Sandwich,5,Loved the quick delivery. Ordered Sandwich.,2026-02-06
24,Taco Town,Pasta,5,Excellent taste and fresh food. Ordered Pasta.,2026-05-24
25,Taco Town,Sandwich,5,Easy ordering experience. Ordered Sandwich.,2026-04-13
26,Sushi Spot,Biryani,2,Packaging was damaged. Ordered Biryani.,2026-05-11
27,Pasta Point,Burger,2,Food arrived cold. Ordered Burger.,2026-01-29
28,Spice Villa,Pasta,1,App payment failed. Ordered Pasta.,2026-06-02
29,Burger Barn,Sandwich,1,App payment failed. Ordered Sandwich.,2026-06-02
30,Pasta Point,Taco,3,Too expensive for the portion. Ordered Taco.,2026-01-03
31,Burger Barn,Taco,1,Order was incorrect. Ordered Taco.,2026-01-29
32,Taco Town,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-04-27
33,Pizza Hub,Taco,3,Too expensive for the portion. Ordered Taco.,2026-02-15
34,Burger Barn,Taco,3,Too expensive for the portion. Ordered Taco.,2026-06-05
35,Cafe Aroma,Pasta,1,Order was incorrect. Ordered Pasta.,2026-02-11
36,Pizza Hub,Sushi,5,Loved the quick delivery. Ordered Sushi.,2026-01-05
37,Burger Barn,Sushi,5,Great customer service. Ordered Sushi.,2026-03-03
38,Pizza Hub,Biryani,5,Easy ordering experience. Ordered Biryani.,2026-01-21
39,Burger Barn,Coffee,2,Delivery was late. Ordered Coffee.,2026-05-17
40,Spice Villa,Pasta,5,Loved the quick delivery. Ordered Pasta.,2026-05-21
41,Spice Villa,Taco,3,Too expensive for the portion. Ordered Taco.,2026-06-05
42,Biryani House,Biryani,3,Too expensive for the portion. Ordered Biryani.,2026-06-26
43,Cafe Aroma,Taco,1,App payment failed. Ordered Taco.,2026-06-21
44,Sushi Spot,Coffee,3,Too expensive for the portion. Ordered Coffee.,2026-04-26
45,Burger Barn,Biryani,5,Excellent taste and fresh food. Ordered Biryani.,2026-01-17
46,Sushi Spot,Pizza,5,Easy ordering experience. Ordered Pizza.,2026-05-22
47,Cafe Aroma,Biryani,2,Food arrived cold. Ordered Biryani.,2026-01-19
48,Pizza Hub,Biryani,2,Delivery was late. Ordered Biryani.,2026-01-09
49,Sushi Spot,Burger,3,Too expensive for the portion. Ordered Burger.,2026-03-02
50,Taco Town,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-05-19
51,Spice Villa,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-05-02
52,Biryani House,Biryani,2,Delivery was late. Ordered Biryani.,2026-01-25
53,Biryani House,Sushi,1,App payment failed. Ordered Sushi.,2026-04-16
54,Pasta Point,Pizza,2,Delivery was late. Ordered Pizza.,2026-01-16
55,Biryani House,Sushi,2,Delivery was late. Ordered Sushi.,2026-03-05
56,Cafe Aroma,Biryani,3,Too expensive for the portion. Ordered Biryani.,2026-04-25
57,Spice Villa,Sandwich,2,Packaging was damaged. Ordered Sandwich.,2026-03-13
58,Pasta Point,Biryani,2,Delivery was late. Ordered Biryani.,2026-04-24
59,Burger Barn,Pizza,3,Too expensive for the portion. Ordered Pizza.,2026-01-04
60,Burger Barn,Biryani,2,Packaging was damaged. Ordered Biryani.,2026-04-15
61,Pasta Point,Coffee,5,Excellent taste and fresh food. Ordered Coffee.,2026-04-13
62,Pizza Hub,Pasta,1,App payment failed. Ordered Pasta.,2026-01-01
63,Biryani House,Taco,5,Loved the quick delivery. Ordered Taco.,2026-03-15
64,Biryani House,Coffee,2,Packaging was damaged. Ordered Coffee.,2026-02-18
