feedback_id,customer_id,order_id,restaurant_id,restaurant_name,delivery_time,rating,feedback_text,created_date,source
FB100501,CUS0061,ORD100151,RES006,BiryaniBox Chennai,50 mins,4,"Top marks for packaging! The food arrived piping hot thanks to the insulated container design used by BiryaniBox Chennai. Even during a long transit across Chennai, there was zero leakage of gravy or oil. Cutlery, napkins, and mouth fresheners were neatly tucked into a separate pocket inside the delivery bag. Thoughtful packaging that enhances the overall meal experience. http://biryanibox.com/feedback-ref?id=9281",2024-03-16,Uber Eats
FB100502,CUS0062,ORD100152,RES007,BiryaniBox Pune,56 mins,5,"The new BiryaniBox mobile application is brilliant! Clean, modern UI with smooth category navigation and quick customization sliders for spice levels and extra salan. The live GPS rider tracking feature works with pinpoint accuracy. Ordering biryani in Pune has never been easier or faster. Kudos to the tech development team!",2024-06-10,Uber Eats
FB100503,CUS0063,ORD100153,RES008,BiryaniBox Mumbai,,5,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Mumbai customers.",2024-06-28,Uber Eats
FB100504,CUS0064,ORD100154,RES001,BiryaniBox Vijayawada,58 mins,4,"Smooth and seamless payment experience on the official BiryaniBox app! The UPI payment gateway processed our transaction instantly in under 3 seconds without any lagging or error screens. I also received an instant 50 INR cashback coupon applied automatically to my wallet. Fast, secure, and hassle-free payment system for Vijayawada customers.",2024-01-11,Uber Eats
FB100505,CUS0065,ORD100155,RES002,BiryaniBox Guntur,58 mins,3,"Prompt and swift table service! Even with a full dining room, the staff managed orders flawlessly. Starters arrived in 7 minutes and main course biryani was brought out right after. Smooth dining experience without tedious waiting. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Guntur remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-24,Uber Eats
FB100506,CUS0066,ORD100156,RES003,BiryaniBox Hyderabad,50 mins,5,"The restaurant personnel at BiryaniBox Hyderabad were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal waiting time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Hyderabad remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-07,Uber Eats
FB100507,CUS0067,ORD100157,RES004,BiryaniBox Visakhapatnam,33 mins,3,"Moderate waiting queue at the entrance. The host managed seating fairly, taking around 15 minutes to assign us a table for four. Standard weekend waiting time. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Visakhapatnam remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-01-27,Uber Eats
FB100508,CUS0068,ORD100158,RES005,BiryaniBox Bengaluru,35 mins,3,"The food arrived in decent condition. Container seals held up during transit, though the outer bag showed slight oil marks near the base. Food remained warm enough to eat without reheating. Average packaging quality that gets the job done for routine takeaway orders. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Bengaluru remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-03-24,Uber Eats
FB100509,CUS0069,ORD100159,RES006,BiryaniBox Chennai,61 mins,3,"The food arrived in decent condition. Container seals held up during transit, though the outer bag showed slight oil marks near the base. Food remained warm enough to eat without reheating. Average packaging quality that gets the job done for routine takeaway orders. Furthermore, the staff hygiene standards and overall brand consistency at BiryaniBox Chennai remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-06-02,Uber Eats
FB100510,CUS0070,ORD100160,RES007,BiryaniBox Pune,50 mins,5,"The resturant personnel at biryaniiBox Pune were professional and well trained. Staff members wore masks and gloves, maintaining strict hygiene standards. Orders were served hot and fresh with minimal wating time. Their friendly attitude made our celebration memorable. Furthermore, the staff hygiene standards and overall brand consistency at biryaniiBox Pune remain commendable across repeat visits. We look forward to ordering our next meal here soon.",2024-04-21,Uber Eats
