id,feature_request,priority
1,Dark mode,Medium
2,Add live order tracking,Low
3,Favorite orders,Medium
4,Add live order tracking,High
5,Repeat last order,Low
6,Dark mode,High
7,Multi-language support,High
8,Voice ordering,High
9,Repeat last order,Low
10,Allergen filter,Medium
11,Split bill,Low
12,Schedule orders,Medium
13,Split bill,High
14,Multi-language support,High
15,Allergen filter,High
16,Split bill,High
17,Allergen filter,Low
18,Dark mode,High
19,Schedule orders,Low
20,Split bill,Medium
21,Voice ordering,High
22,Repeat last order,Medium
23,Dark mode,Low
24,AI meal recommendations,Medium
25,AI meal recommendations,High
26,Favorite orders,Low
27,Voice ordering,High
28,Schedule orders,Low
29,Dark mode,Medium
30,Schedule orders,Medium
31,Schedule orders,High
32,Split bill,Low
33,Favorite orders,Low
34,Multi-language support,Low
35,Allergen filter,Medium
36,Multi-language support,High
37,AI meal recommendations,Medium
38,Add live order tracking,High
39,Add live order tracking,High
40,Favorite orders,High
41,Allergen filter,High
42,AI meal recommendations,High
43,Multi-language support,Low
44,AI meal recommendations,Low
45,Favorite orders,High
46,Multi-language support,High
47,Split bill,High
48,Favorite orders,Medium
49,Multi-language support,High
50,Schedule orders,Medium
51,Favorite orders,Medium
52,Voice ordering,Medium
53,AI meal recommendations,Low
54,Favorite orders,High
55,Repeat last order,Medium
56,Repeat last order,Medium
57,Repeat last order,High
58,Schedule orders,Low
59,Schedule orders,High
60,Voice ordering,High
61,Split bill,High
62,AI meal recommendations,High
63,AI meal recommendations,High
64,Repeat last order,High
65,Split bill,High
66,Dark mode,Medium
67,Repeat last order,Medium
68,Multi-language support,High
69,Favorite orders,High
70,Repeat last order,Medium
71,Favorite orders,Low
72,Repeat last order,Low
73,Add live order tracking,Medium
74,AI meal recommendations,Low
75,Add live order tracking,Low
76,Voice ordering,Low
77,Voice ordering,High
78,Voice ordering,Low
79,Add live order tracking,High
80,Voice ordering,Low
81,Repeat last order,Low
82,Split bill,Medium
83,Dark mode,High
84,Repeat last order,Low
85,Repeat last order,Medium
86,Schedule orders,High
87,Voice ordering,High
88,Add live order tracking,Medium
89,Favorite orders,Medium
90,Split bill,High
91,Add live order tracking,Low
92,Voice ordering,Low
93,Multi-language support,Medium
94,Schedule orders,High
95,Split bill,High
96,Repeat last order,High
97,Multi-language support,Low
98,Schedule orders,Medium
99,Allergen filter,Low
100,Dark mode,Low
101,AI meal recommendations,High
102,Repeat last order,Low
103,Favorite orders,Low
104,Favorite orders,Medium
105,Repeat last order,Medium
106,AI meal recommendations,Low
107,Multi-language support,Medium
108,Add live order tracking,Medium
109,Allergen filter,High
110,AI meal recommendations,Low
111,AI meal recommendations,Medium
112,Multi-language support,Low
113,Multi-language support,High
114,Voice ordering,Medium
115,Multi-language support,High
116,Split bill,Low
117,Split bill,High
118,Schedule orders,Low
119,Repeat last order,Low
120,Repeat last order,Low
121,Favorite orders,High
122,Repeat last order,Medium
123,Dark mode,Medium
124,Schedule orders,Low
125,Split bill,Medium
126,Split bill,Medium
127,Schedule orders,High
128,Repeat last order,Medium
129,Repeat last order,High
130,Add live order tracking,Low
131,Split bill,Medium
132,Schedule orders,High
133,Multi-language support,High
134,Schedule orders,Low
135,Split bill,Medium
136,Dark mode,Medium
137,Voice ordering,High
138,Voice ordering,Low
139,Repeat last order,Medium
140,Repeat last order,High
141,Allergen filter,Medium
142,Add live order tracking,Medium
143,Schedule orders,Medium
144,Repeat last order,Low
145,Dark mode,Low
146,Repeat last order,High
147,Add live order tracking,High
148,Dark mode,Low
149,Schedule orders,High
150,Favorite orders,Low
151,Schedule orders,High
152,Favorite orders,High
153,Dark mode,High
154,AI meal recommendations,Low
155,Allergen filter,High
156,Split bill,Low
157,Dark mode,Low
158,Add live order tracking,Low
159,Voice ordering,High
160,Dark mode,High
161,Schedule orders,Medium
162,Favorite orders,Medium
163,Allergen filter,High
164,Favorite orders,Medium
165,Split bill,Low
166,Favorite orders,High
167,Dark mode,High
168,Add live order tracking,High
169,Multi-language support,Low
170,Multi-language support,Low
171,Dark mode,Medium
172,Repeat last order,Low
173,Voice ordering,High
174,Voice ordering,High
175,Dark mode,Medium
176,Allergen filter,Medium
177,Favorite orders,High
178,Add live order tracking,Medium
179,AI meal recommendations,High
180,Schedule orders,Low
181,Favorite orders,High
182,Voice ordering,High
183,AI meal recommendations,Medium
184,Split bill,Low
185,Repeat last order,High
186,AI meal recommendations,Low
187,Add live order tracking,Low
188,Multi-language support,High
189,Favorite orders,High
190,Repeat last order,Low
191,Voice ordering,Low
192,Split bill,Low
193,Favorite orders,High
194,Repeat last order,Low
195,AI meal recommendations,Low
196,Schedule orders,High
197,Voice ordering,Low
198,Dark mode,Low
199,Multi-language support,Low
200,Repeat last order,Medium
